id,name,domain,industry,annual_revenue,employee_count,founded_year,country,state,city,phone,owner_id,lifecycle_stage,created_at,updated_at
acct_000001,Acme Corporation,getacme.com,Manufacturing,153881355.16,1000.0,1997.0,US,IA,North Judithbury,+13429541679,inactive_user_04,Opportunity,2025-12-28T12:00:00+00:00,2026-05-15T12:00:00+00:00
acct_000006,Globex Industries LLC,globex.com,Energy,165251505.83,1000.0,2005.0,US,IA,Robinsonshire,+19047703598,inactive_user_03,Customer,2025-12-02T12:00:00+00:00,2026-01-29T12:00:00+00:00
acct_000007,Globex,globex.com,Energy,142000000,250.0,1997.0,US,VT,Lisatown,+18998631169,owner_020,SQL,2024-03-09T12:00:00+00:00,2024-08-22T12:00:00+00:00
acct_000010,Initech LLC,getinitech.com,Software,180075462.3,1000.0,2003.0,US,KY,North Noahstad,+1 607 426 4572,owner_018,Opportunity,2025-08-14T12:00:00+00:00,2025-10-31T12:00:00+00:00
acct_000013,Arnold Ltd,arnoldltd.com,Insurance,375563460.9,5000,1961.0,US,DE,Barbaraland,+15006452591,inactive_user_05,Lead,2022-07-02T12:00:00+00:00,2023-02-21T12:00:00+00:00
acct_000014,Stanley LLC,stanleyllc.io,Biotechnology,456357605.75,250.0,1993.0,US,SD,Port Jesseville,+17198233258,owner_005,MQL,2023-07-05T12:00:00+00:00,2024-07-04T12:00:00+00:00
acct_000015,Ramirez-Reid,ramirezreid.com,Automotive,10228632.82,1000,1960.0,US,MD,Franciscostad,+14452593946,owner_019,Closed Lost,2022-12-16T12:00:00+00:00,2024-10-09T12:00:00+00:00
acct_000016,Santiago Ltd,santiagoltd.com,Insurance,383034297.44,50.0,2022.0,US,TX,New Cynthiaside,765-900-3056,owner_009,MQL,2021-09-27T12:00:00+00:00,2022-02-15T12:00:00+00:00
acct_000017,"Sanchez, Ford and Nelson",sanchezfordandnelson.com,Insurance,356618011.92,1000.0,1987.0,US,TX,Lake Mark,+18655827177,owner_017,MQL,2021-02-08T12:00:00+00:00,2024-02-17T12:00:00+00:00
acct_000018,Perez Inc,perezinc.com,Insurance,166911000.0,100.0,2032.0,US,AL,Richardland,+12729240964,owner_008,Lead,2024-06-02T12:00:00+00:00,2024-06-23T12:00:00+00:00
acct_000019,Gentry PLC,gentryplc.com,Real Estate,139599393.35,2500.0,2002.0,US,IN,Jasonfort,+17523359355,owner_019,MQL,2025-12-01T12:00:00+00:00,2026-04-11T12:00:00+00:00
acct_000020,Wilkerson-Day Corp,wilkersonday.io,Manufacturing,329661883.38,500.0,2012.0,US,NV,West Donald,+16206780887,inactive_user_03,Customer,2025-04-01T12:00:00+00:00,2025-05-19T12:00:00+00:00
acct_000021,"Hoffman, Baker and Richards",hoffmanbakerandrichards.io,Real Estate,268374734.08,5000,1973.0,US,NV,Coxberg,+13874857579,owner_008,Customer,2024-12-02T12:00:00+00:00,2025-06-16T12:00:00+00:00
acct_000022,"Snyder, Campos and Callahan",snydercamposandcallahan.com,Healthcare,22039150.0,50,1972.0,US,HI,Lake Ernest,,owner_007,Customer,2026-01-12T12:00:00+00:00,2026-01-15T12:00:00+00:00
acct_000023,"Henderson, Brown and James",hendersonbrownandjames.co,Hospitality,132968927.56,2500.0,1981.0,US,ME,Riceside,+16339139105,owner_016,Lead,2024-03-10T12:00:00+00:00,2024-03-12T12:00:00+00:00
acct_000024,Frazier Inc,frazierinc.com,Retail,374113792.41,1000.0,2006.0,US,AR,Kaylamouth,+1 241 792 7651,owner_017,MQL,2023-10-08T12:00:00+00:00,2026-02-08T12:00:00+00:00
acct_000025,Carter and Sons,carterandsons.ai,,297720035.67,100.0,1970.0,US,MT,Smithview,+13227834033,owner_019,SQL,2021-07-17T12:00:00+00:00,2022-08-01T12:00:00+00:00
acct_000026,"Gill, Romero and Rodriguez",gillromeroandrodriguez.com,Media,158526738.07,250.0,2013.0,US,IN,Meaganhaven,+18859335147,inactive_user_01,Lead,2022-08-18T12:00:00+00:00,2025-11-25T12:00:00+00:00
acct_000027,"Gonzalez, Brooks and Martin",gonzalezbrooksandmartin.com,Healthcare,40127200.0,25.0,1998.0,US,CA,New Mariotown,+17504188288,owner_009,Lead,2023-10-02T12:00:00+00:00,2024-08-20T12:00:00+00:00
acct_000028,Hickman LLC,hickmanllc.com,Logistics,740198000.0,2500.0,1968.0,US,OH,North John,+19205098666,owner_001,SQL,2021-05-21T12:00:00+00:00,2022-10-03T12:00:00+00:00
acct_000029,"Arroyo, Miller and Tucker",arroyomillerandtucker.com,Retail,1761035000.0,25.0,1973.0,US,WV,Port Amandaberg,+17663594462,owner_010,SQL,2021-01-19T12:00:00+00:00,2025-12-22T12:00:00+00:00
acct_000030,Keller PLC,kellerplc.io,Energy,252951824.52,250,1986.0,US,AR,West Allison,+12948496939,owner_009,Lead,2022-06-18T12:00:00+00:00,2026-01-06T12:00:00+00:00
acct_000031,"Henderson, Lewis and Ryan",hendersonlewisandryan.com,Media,370744838.72,5000.0,1976.0,US,VA,Lake Larry,+16377740158,owner_004,Lead,2022-09-29T12:00:00+00:00,2024-03-18T12:00:00+00:00
acct_000032,"Santos, Kim and Holmes",santoskimandholmes.co,Logistics,291463528.46,50.0,1979.0,US,NV,East Jeffreymouth,+13302425050,owner_012,Customer,2023-04-04T12:00:00+00:00,2023-06-16T12:00:00+00:00
acct_000033,Chapman and Sons,chapmanandsons.io,Education,341192310.81,25.0,1965.0,US,MN,North Chad,+17736162532,owner_008,Customer,2021-04-11T12:00:00+00:00,2023-04-13T12:00:00+00:00
acct_000034,"Brown, Jones and Johnson",brownjonesandjohnson.ai,Software,1811077500.0,2500,1982.0,US,NE,Chadbury,+18859524065,owner_009,Lead,2021-05-16T12:00:00+00:00,2023-09-07T12:00:00+00:00
acct_000035,Caldwell-Lewis,caldwelllewis.io,Automotive,111605641.91,2500.0,2008.0,US,MN,Lake Selena,+15124333652,owner_001,SQL,2021-06-04T12:00:00+00:00,2021-08-22T12:00:00+00:00
acct_000036,"Johnston, Sanchez and Kennedy",johnstonsanchezandkennedy.com,Energy,175897491.48,5000.0,1995.0,US,MT,Leeville,,owner_001,Lead,2021-06-20T12:00:00+00:00,2021-11-09T12:00:00+00:00
