id,name,domain,industry,annual_revenue,employee_count,founded_year,country,state,city,phone,owner_id,lifecycle_stage,created_at,updated_at
acct_000001,Acme Corporation,acme.com,Manufacturing,9877097.27,500.0,1995,US,IA,North Judithbury,+13429541679,owner_018,Lead,2022-08-25T12:00:00+00:00,2023-04-10T12:00:00+00:00
acct_000002,Acme Corp,acme.com,,10810457.79,250.0,1994,US,NC,East Jill,+18162279195,owner_007,Opportunity,2023-11-13T12:00:00+00:00,2023-12-15T12:00:00+00:00
acct_000003,ACME CORP,acme.com,Manufacturing,86806365.09,1000.0,1997,US,AL,New Roberttown,+19773636924,owner_011,Lead,2022-04-20T12:00:00+00:00,2025-05-10T12:00:00+00:00
acct_000004,"Acme, Inc.",getacme.com,,153881355.16,100.0,1985,US,MO,East Jessetown,+12995675635,inactive_user_04,Lead,2025-01-10T12:00:00+00:00,2026-05-15T12:00:00+00:00
acct_000005,Acmee Corp,acme.io,Manufacturing,,1000.0,1985,US,OK,Lake Debra,+15008435925,owner_019,Lead,2025-12-28T12:00:00+00:00,2026-04-24T12:00:00+00:00
acct_000006,Globex Industries,globex.com,Energy,133946347.12,500.0,1985,US,IA,Robinsonshire,4296907212,inactive_user_03,SQL,2025-11-04T12:00:00+00:00,2025-11-15T12:00:00+00:00
acct_000007,Globex,globex.com,Energy,,250.0,1997,US,VT,Lisatown,+18998631169,owner_020,SQL,2024-03-09T12:00:00+00:00,2024-08-22T12:00:00+00:00
acct_000008,globex industries,globex.com,Energy,,1000.0,1997,US,SD,Lake Roberto,+19047703598,owner_011,Customer,2023-03-29T12:00:00+00:00,2024-08-11T12:00:00+00:00
acct_000009,Globex Industries LLC,globex.io,Energy,165251505.83,500.0,2005,US,LA,Ericmouth,+12674169292,owner_011,Lead,2025-12-02T12:00:00+00:00,2026-01-29T12:00:00+00:00
acct_000010,Initech,initech.com,Software,177513215.01,1000.0,1989,US,KY,North Noahstad,596-228-5704,owner_018,Lead,2023-06-08T12:00:00+00:00,2025-08-26T12:00:00+00:00
acct_000011,Initech LLC,initech.com,Software,180075462.3,,2003,,IA,Cassandraton,+13417218085,owner_003,Opportunity,2022-12-15T12:00:00+00:00,2025-05-10T12:00:00+00:00
acct_000012,INITECH,getinitech.com,Software,,1000.0,1984,,MO,Herrerafurt,+1 607 426 4572,owner_017,Lead,2025-08-14T12:00:00+00:00,2025-10-31T12:00:00+00:00
acct_000013,Arnold Ltd,arnoldltd.com,Insurance,375563460.9,,1961,US,DE,Barbaraland,+15006452591,inactive_user_05,Lead,2022-07-02T12:00:00+00:00,2023-02-21T12:00:00+00:00
acct_000014,Stanley LLC,stanleyllc.io,Biotechnology,456357605.75,250.0,1993,US,SD,Port Jesseville,+17198233258,owner_005,MQL,2023-07-05T12:00:00+00:00,2024-07-04T12:00:00+00:00
acct_000015,Ramirez-Reid,ramirezreid.com,Automotive,10228632.82,,1960,,MD,Franciscostad,+14452593946,owner_019,Closed Lost,2022-12-16T12:00:00+00:00,2024-10-09T12:00:00+00:00
acct_000016,Santiago Ltd,santiagoltd.com,Insurance,383034297.44,50.0,2022,US,TX,New Cynthiaside,765-900-3056,owner_009,MQL,2021-09-27T12:00:00+00:00,2022-02-15T12:00:00+00:00
acct_000017,"Sanchez, Ford and Nelson",sanchezfordandnelson.com,,356618011.92,1000.0,1987,,TX,Lake Mark,+18655827177,owner_017,MQL,2021-02-08T12:00:00+00:00,2024-02-17T12:00:00+00:00
acct_000018,Perez Inc,perezinc.com,Insurance,,100.0,2032,US,AL,Richardland,+12729240964,owner_008,Lead,2024-06-02T12:00:00+00:00,2024-06-23T12:00:00+00:00
acct_000019,Gentry PLC,gentryplc.com,Real Estate,139599393.35,2500.0,2002,US,IN,Jasonfort,+17523359355,owner_019,MQL,2025-12-01T12:00:00+00:00,2026-04-11T12:00:00+00:00
acct_000020,Wilkerson-Day,wilkersonday.io,Manufacturing,329661883.38,,2012,US,NV,West Donald,+16206780887,owner_004,Lead,2025-04-01T12:00:00+00:00,2025-05-19T12:00:00+00:00
acct_000021,"Hoffman, Baker and Richards",hoffmanbakerandrichards.io,,268374734.08,,1973,,NV,Coxberg,+13874857579,owner_008,Customer,2024-12-02T12:00:00+00:00,2025-06-16T12:00:00+00:00
